"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",4,14,10,13,20,10,31,39,28,60,11
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100023,"Ariquemes",8,7,14,25,20,20,60,41,35,37,45
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100031,"Cabixi",2,1,2,3,10,14,14,4,7,9,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100049,"Cacoal",3,4,6,4,8,5,6,16,10,12,10
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100056,"Cerejeiras",2,3,2,1,5,6,13,3,2,2,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100064,"Colorado do Oeste",0,1,0,1,1,11,2,4,1,4,1
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100072,"Corumbiara",2,6,5,1,3,6,3,5,13,8,8
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100080,"Costa Marques",41,35,34,61,27,48,49,51,61,85,33
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100098,"Espigão D'Oeste",6,3,14,5,5,3,5,9,11,14,8
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100106,"Guajará-Mirim",7,12,14,49,20,42,25,8,31,37,10
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100114,"Jaru",0,2,1,1,3,4,3,4,3,5,9
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100122,"Ji-Paraná",2,2,3,6,1,3,6,2,2,7,5
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100130,"Machadinho D'Oeste",35,108,131,161,122,192,181,196,146,158,89
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",2,10,4,4,4,3,4,7,2,11,8
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",NA,0,1,1,1,0,16,67,48,45,17
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100189,"Pimenta Bueno",8,8,65,13,8,13,20,42,40,41,35
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100205,"Porto Velho",264,633,384,606,441,570,593,693,762,825,899
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100254,"Presidente Médici",0,1,0,1,1,1,1,1,1,2,1
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100262,"Rio Crespo",4,5,7,10,9,17,17,16,13,21,12
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100288,"Rolim de Moura",0,1,2,1,1,1,1,5,4,5,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",1,0,5,1,1,1,1,1,2,3,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100304,"Vilhena",17,15,17,16,15,32,27,30,35,50,39
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100320,"São Miguel do Guaporé",7,11,25,15,22,10,35,20,18,34,41
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100338,"Nova Mamoré",118,151,152,262,269,294,278,354,296,296,225
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100346,"Alvorada D'Oeste",2,4,4,3,5,3,3,2,3,5,4
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",6,16,6,9,10,7,10,19,15,20,14
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100403,"Alto Paraíso",17,30,26,54,28,47,89,106,131,92,82
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100452,"Buritis",67,84,43,101,113,109,157,134,89,62,77
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",1,1,1,1,1,2,3,2,2,3,1
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100601,"Cacaulândia",2,3,2,8,5,9,12,24,9,12,14
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100700,"Campo Novo de Rondônia",39,52,27,74,34,41,62,54,43,29,28
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100809,"Candeias do Jamari",25,35,35,93,78,95,191,210,204,211,228
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100908,"Castanheiras",NA,1,NA,1,2,3,9,8,3,4,3
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100924,"Chupinguaia",6,8,35,10,10,10,18,18,19,30,25
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1100940,"Cujubim",67,94,113,110,80,130,166,172,144,228,202
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101005,"Governador Jorge Teixeira",2,4,3,8,4,7,8,13,8,11,11
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101104,"Itapuã do Oeste",6,27,25,33,18,18,32,28,33,30,27
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101203,"Ministro Andreazza",0,1,1,0,1,1,0,3,1,2,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101302,"Mirante da Serra",1,1,6,3,3,5,6,9,9,16,14
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101401,"Monte Negro",10,20,17,51,28,28,44,36,34,22,29
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101435,"Nova União",1,2,1,1,3,0,2,2,2,43,19
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101450,"Parecis",5,15,40,9,8,11,15,8,14,15,12
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101468,"Pimenteiras do Oeste",12,13,15,2,2,9,17,6,7,7,18
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101476,"Primavera de Rondônia",0,NA,1,2,0,0,NA,1,2,1,1
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101484,"São Felipe D'Oeste",0,NA,1,0,0,0,0,0,NA,1,NA
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101492,"São Francisco do Guaporé",28,27,19,32,13,21,15,30,53,46,43
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101500,"Seringueiras",10,16,25,20,15,14,14,12,19,106,68
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101559,"Teixeirópolis",NA,0,0,NA,NA,1,0,0,0,1,1
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101609,"Theobroma",4,4,6,10,7,9,8,7,5,11,9
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101708,"Urupá",0,2,2,1,2,2,2,2,1,1,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_MUN","Rondônia",1101757,"Vale do Anari",7,14,24,17,22,28,38,20,18,19,14
