"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1101559,"Teixeirópolis",4.2,5.2,5.7,6.1,6,5.5
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1101609,"Theobroma",4.4,5.5,5,6,6.4,5.6
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1101708,"Urupá",4.7,5,5.7,5.6,6,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1101757,"Vale do Anari",4.2,4.3,5.1,5.1,5.8,5
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1101807,"Vale do Paraíso",4.2,4.6,5.5,4.9,5.1,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200013,"Acrelândia",3.7,4.4,4.8,5,5.4,5.6
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200054,"Assis Brasil",3.2,4.2,4.2,4.2,4.3,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200104,"Brasiléia",4.8,5.3,5.6,5.8,6.4,6.8
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200138,"Bujari",3.3,4.1,4.4,4.1,4.5,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200179,"Capixaba",4.1,3.9,4.3,4.5,4.2,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200203,"Cruzeiro do Sul",4.3,4.6,4.8,5.2,5.5,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200252,"Epitaciolândia",4.2,4.8,4.9,5.3,5.8,6
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200302,"Feijó",3.5,4.1,4.7,4.9,5.5,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200328,"Jordão",2.9,3.8,4.2,4.8,4.8,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200336,"Mâncio Lima",3.5,4.1,4.5,4.5,5.2,5.3
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200344,"Manoel Urbano",3.7,4.3,4.5,4.9,4.7,5.4
