AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101807,Vale do Paraíso,49.2,61.9,63.7,82.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200013,Acrelândia,79.7,82.2,97.2,100.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200054,Assis Brasil,116.2,115.4,91.1,102
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200104,Brasiléia,92,97.7,75.5,76.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200138,Bujari,92.1,70.7,66.7,86.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200179,Capixaba,87.6,93.7,104.2,120.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200203,Cruzeiro do Sul,85.7,94.3,90.5,99.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200252,Epitaciolândia,71.4,76.1,79.7,88.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200302,Feijó,70,57.8,66.1,64.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200328,Jordão,93.8,62.2,72.1,53.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200336,Mâncio Lima,100.1,100,92.9,108.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200344,Manoel Urbano,58.7,70.1,73.9,77.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200351,Marechal Thaumaturgo,65.2,70.7,73,63.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200385,Plácido de Castro,74.7,81.9,72.8,73.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200393,Porto Walter,69.3,81.3,82.6,76.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200401,Rio Branco,89.6,92.5,88.8,90.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200427,Rodrigues Alves,67.2,74.7,71.9,65.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200435,Santa Rosa do Purus,68.2,71,59.1,75.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200450,Senador Guiomard,95,96.1,100.6,99.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200500,Sena Madureira,54.5,56.5,57.1,61.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200609,Tarauacá,61.6,66,63.9,71.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200708,Xapuri,69.7,59.7,62.4,62.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200807,Porto Acre,88.3,85.4,90.7,86.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300029,Alvarães,53.5,72.8,71.3,77.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300060,Amaturá,99.6,107.2,110.6,112.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300086,Anamã,60.5,63.5,68.9,76.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300102,Anori,55.1,54.2,57.6,61.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300144,Apuí,62.6,48.3,58.6,70.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300201,Atalaia do Norte,45.8,70.8,67.6,88.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300300,Autazes,63.9,79.7,87.3,89.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300409,Barcelos,54.2,62.7,72.8,72.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300508,Barreirinha,95.1,91.9,91.1,92.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300607,Benjamin Constant,85.3,88.9,90.1,90.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300631,Beruri,56.2,58.1,63.8,70.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300680,Boa Vista do Ramos,76.9,83.4,79.5,85.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300706,Boca do Acre,47.3,56,66,67.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300805,Borba,73.7,74.6,74.2,72.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300839,Caapiranga,78.3,71.5,83.3,99.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1300904,Canutama,39.6,47.7,47.2,62.7
