"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"31","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100700,"Campo Novo de Rondônia",16274.98,16219.41,17201.81,19614.5,20488.96,21028.07,19540.63,20064.09,19246.74,18279.03,19092.24
"32","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100809,"Candeias do Jamari",23570.81,23543.95,24639.26,24442.19,25069.16,25291.31,23073.55,23323.84,22050.16,20656.52,21299.57
"33","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100908,"Castanheiras",22549.62,22379.26,24304.92,28013.64,29878.61,31304.73,29766.3,31179.31,30505.03,29521.78,31403.66
"34","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100924,"Chupinguaia",27602.78,27593.37,28759.46,30384.11,31168.25,31450.63,28699.07,29012.35,27433.72,25703.55,26504.58
"35","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100940,"Cujubim",17140.58,17212.33,17483.7,18360.06,18484.62,18337.51,16442.77,16384.98,15289.94,14154.57,14437.6
"36","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101005,"Governador Jorge Teixeira",11710.25,11617.31,12656.01,15607.07,16806.29,17770.18,17076.59,18067.71,17848.44,17444.96,18740.79
"37","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101104,"Itapuã do Oeste",14913.47,14876.51,15689.93,16866.33,17474.29,17793.31,16397,16713.66,15925.39,15026.66,15599.22
"38","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101203,"Ministro Andreazza",15457.03,15358.26,16573.7,18926.33,20060.63,20882.45,19710.24,20517.83,19944.23,19185.54,20286.39
"39","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101302,"Mirante da Serra",12882.04,12802.03,13802.18,16063.57,17042.11,17755.72,16778.05,17480.11,17007.53,16373.5,17327.21
"40","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101401,"Monte Negro",15913.23,15833.15,16958.93,17102.04,17852.51,18309.55,17001.94,17445.53,16726.5,15876.17,16573.46
"41","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101435,"Nova União",11491.47,11424.17,12286.9,14565.98,15442.51,16078.3,15180.7,15806.3,15368.83,14786.56,15638.43
"42","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101450,"Parecis",16377.18,16356.95,17130.55,19123.27,19744.87,20045.89,18414.18,18717.32,17788.34,16744.54,17342.99
"43","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101468,"Pimenteiras do Oeste",30783.94,30608.33,32942.4,38426.89,40716.22,42373.96,39974.61,41599.99,40432.25,38873.46,41089.63
"44","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101476,"Primavera de Rondônia",12538.21,12445.1,13519.04,16150.61,17288.89,18171.84,17348.91,18243.65,17910.47,17393.81,18574.03
"45","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101484,"São Felipe D'Oeste",10627.81,10555.67,11419.03,13604.55,14505.86,15188.31,14434.57,15115.63,14779.76,14297.77,15204.87
"46","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101492,"São Francisco do Guaporé",15930.25,15916.85,16632.45,19127.06,19749.62,20048.73,18411.33,18712.93,17782.47,16738.34,17335.89
"47","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101500,"Seringueiras",14996.99,14927.52,15948.13,18581.32,19560.66,20224.08,18946.24,19592.42,18922.48,18088.66,19010.27
"48","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101559,"Teixeirópolis",12430.43,12342.31,13376.1,15330.28,16318.28,17055.08,16173.55,16905.77,16501.56,15937.42,16916.45
"49","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101609,"Theobroma",13612.89,13521,14380.53,15590.86,16462.73,17073.29,16048.66,16643.51,16120.27,15452.66,16283.44
