"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101104,"Itapuã do Oeste",9.1,7.9,8.8,13,13.8,16.2,12.4,17.6,21.9,30,59.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101203,"Ministro Andreazza",0,0,7.9,12.4,13.4,10.7,15.6,13.9,18,22.4,38.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101302,"Mirante da Serra",13.7,15.1,14.6,16.1,11,10.8,10.5,14,17.9,23.9,42.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101401,"Monte Negro",6,7.3,7.2,10.4,7.5,6.6,5,9.6,15.5,12.3,14.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101435,"Nova União",9.7,9.4,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101450,"Parecis",0,0,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101468,"Pimenteiras do Oeste",0,0,0,0,0,0,0,0,0,17.4,27.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101476,"Primavera de Rondônia",25.4,19.6,23.8,23.5,18.3,19.6,19.8,18.7,24.2,38.5,58
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101484,"São Felipe D'Oeste",0,0,0,0,0,11.7,13.2,16.8,14.8,27.2,71.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101492,"São Francisco do Guaporé",2.5,4.7,4.6,5.7,12.1,6.9,9.6,11.5,14,15.4,23
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101500,"Seringueiras",0,0,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101559,"Teixeirópolis",28.8,36.6,39.9,43.7,33.2,24.8,27.6,32,37.9,43.9,46.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101609,"Theobroma",0,0,0,8.3,10,9,10.3,11.3,14.1,20.6,27.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101708,"Urupá",12.3,18.9,21,18.6,12.9,11,15.3,17.1,25.2,68.3,100
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101757,"Vale do Anari",0,0,0,0,0,0,0,0,7.8,8.2,18
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101807,"Vale do Paraíso",16.7,14.9,13.8,16.5,11.5,11.2,13.4,12.5,23,22.8,56.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200013,"Acrelândia",14.1,13.2,20.8,24.4,25.9,27.5,26.3,29.8,28.7,24.5,31.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200054,"Assis Brasil",17.8,15.8,18.4,14.8,0,10.7,0,6.4,5.9,5.6,5.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200104,"Brasiléia",6.7,10.7,13.1,15.4,11.9,16,15.1,18,14.1,16.2,16.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200138,"Bujari",18.3,18.5,19.2,27.4,23.2,26.9,23.7,24.9,25.2,23.4,21.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200179,"Capixaba",0,0,0,0,0,4.8,10.4,8,7.7,4.7,12
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200203,"Cruzeiro do Sul",19.3,18.5,20,20,22.9,21.4,22,24,25.5,26.7,27.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200252,"Epitaciolândia",13.8,16.2,16.6,15.9,14.2,20.2,19.9,22.6,27.7,25.4,28.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200302,"Feijó",0,0,0,0,0,0,0,0,0,0,4.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200328,"Jordão",18.7,18.5,17.2,20.5,20.5,19.2,59,28.7,20,22.4,18.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200336,"Mâncio Lima",18.9,22.1,25.5,23.4,24.9,25.9,27.1,30.2,32.5,28.8,31
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200344,"Manoel Urbano",18.8,29,30.3,14.7,13.9,12.9,13.3,14.7,13.9,13.2,13.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200351,"Marechal Thaumaturgo",7.7,8.6,4,5.4,17.2,22.5,15.3,15,15.7,20.2,16.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200385,"Plácido de Castro",0,0,0,0,2.2,0,0,3.1,10.3,12.5,14.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200393,"Porto Walter",0,0,6.4,0,3.3,12.5,9.1,7.8,8.1,18.5,14.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200401,"Rio Branco",4.3,4.8,7.8,10.3,11,12.7,16.3,18.8,19.9,20,19.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200427,"Rodrigues Alves",9.9,12,15.3,39.5,35.9,40.8,40.5,36.2,48.5,55.5,61.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200435,"Santa Rosa do Purus",2.4,14.3,10,13,10.9,13.1,9.6,11.2,11.5,10.5,9.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200450,"Senador Guiomard",0,0,0,4.2,4.3,11.8,10.9,13.8,13,17.8,21.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200500,"Sena Madureira",0,0,0,0,4.3,4.9,8.3,9.7,11,11.4,12
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200609,"Tarauacá",5.8,4,4.8,5,6.8,7.3,5.6,6.2,4.7,4.2,5.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200708,"Xapuri",11.5,11.5,11.8,11.9,12.9,13.7,7.9,16.1,16.8,19.5,22
"Educação","TX_INEP_CRECHE_0_3_MUN","Acre",1200807,"Porto Acre",0,0,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300029,"Alvarães",0,11.6,13.5,10.3,16,5.5,15,15.6,25.7,25.7,24.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300060,"Amaturá",5.4,5.4,8.2,7.6,9.9,7.1,9.4,10.4,7.9,25.1,20.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300086,"Anamã",5.8,6,5.3,4.6,5.9,6.1,5.7,6.9,10.2,10.2,10.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300102,"Anori",0,0,0,0,0,0,0,0,6.6,7.4,8.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300144,"Apuí",11.3,13.6,14.1,14,18.1,17.7,18.8,26,25.3,31.7,59.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300201,"Atalaia do Norte",0,0,0.6,0,0,0.1,3.8,5.8,8.4,8.8,9.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300300,"Autazes",6.6,5.9,8,10,5.9,7.5,7.8,7.9,8.7,8.1,5.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300409,"Barcelos",12.4,9.9,10.9,14.5,15.6,15.4,12.3,20.4,24.4,26,28.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300508,"Barreirinha",14.9,17,18.8,12.7,13.7,15.8,16.4,20.9,18.5,18.9,19.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300607,"Benjamin Constant",0.4,0.7,1.4,0.8,0.6,3.2,3.7,4,7.4,9.7,9.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300631,"Beruri",0,0,0,0,0,0,0,0,0.7,0.3,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300680,"Boa Vista do Ramos",27.6,4.2,5.7,8.2,9.8,11.9,13.1,17.1,34.1,27.5,28.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300706,"Boca do Acre",0,0,0,0,0,0,0,0.9,2.9,3.1,5.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300805,"Borba",4.5,5.1,6.2,8.3,16.6,16.8,18.6,20,23.1,21.1,23.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300839,"Caapiranga",16.5,17.6,18.3,13,17.4,18.6,17.3,27.5,24.4,39.1,39.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1300904,"Canutama",12.9,11.6,13.1,3.4,1.1,7.3,5.1,8,11.3,11.8,10.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301001,"Carauari",0,0,0,5.3,5.6,8.8,7.8,7.2,9.2,9.8,15.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301100,"Careiro",4.7,2.6,2,1.5,1.5,3,3.2,8.3,24.3,25.7,35.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301159,"Careiro da Várzea",2.7,2.8,3.4,4.1,6.3,4.8,4.1,7.4,9.1,10.7,24.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301209,"Coari",4.1,3.7,4.7,4.1,4,4.1,4.5,4.8,4.7,5.3,5.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301308,"Codajás",4.9,5.4,6,5.3,6.7,6.5,7.8,10.3,9.6,8.6,8.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301407,"Eirunepé",8.3,7.4,9.8,10.5,10.3,10.6,9.9,13.1,13.6,16,14.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301506,"Envira",17.3,0,9.2,8.4,9.1,10.6,9.9,10.6,11.7,13.3,19
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301605,"Fonte Boa",8.5,11.2,10.9,8.9,9.5,4,9.8,8.5,18.6,20.4,14.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301654,"Guajará",0,0,2.7,0.5,21.5,17.3,15.3,15.7,18.1,21.9,29.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301704,"Humaitá",0,0,0,0,6,6.1,6.1,12.3,12.5,12.6,14.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301803,"Ipixuna",0,0,0,0,0,0,0,3.9,5,0,1.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301852,"Iranduba",6.9,8.3,7.6,10.1,10.7,12.2,10.8,9.3,11.5,7.4,10.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301902,"Itacoatiara",6.9,6.6,5.6,6.6,5,5.6,7.5,7.4,8.1,9.7,10.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1301951,"Itamarati",24.5,24.7,27.5,22.6,20.3,19.3,19.1,26.2,20.8,19.9,15.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302009,"Itapiranga",10,13.1,13.9,15.7,18.7,24.1,24.9,32.9,29.5,36.8,46.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302108,"Japurá",45.9,37.6,40.9,62.2,67.2,70.1,64.3,65.9,71.6,66.9,45.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302207,"Juruá",0,6.2,14.4,16.7,19.7,26.7,33.3,45.1,46,50.6,57.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302306,"Jutaí",0,0,0,0,0,0.1,0,0,10.6,22.9,16.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302405,"Lábrea",4,4.6,5,5.8,6.1,8.6,6.2,8.5,10.6,10.8,11.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302504,"Manacapuru",0.9,1.3,1.7,1.4,4.1,4.8,5.9,6.3,8.1,8.5,9.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302553,"Manaquiri",0,0,0,0,0,0,0.1,0,5.9,6.6,11.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302603,"Manaus",4.6,5,6.6,7.3,6.5,6.5,6.1,5.8,6.1,6.2,5.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302702,"Manicoré",3.3,4.5,5.3,5,6.3,6.7,6.6,10,19.4,23.3,28.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302801,"Maraã",7.5,14.2,20.4,23.3,29.2,26.3,28,30.8,31.2,35.4,34.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1302900,"Maués",1.4,0.8,4.1,5.7,6.2,5.4,5.9,7,7,4.9,7.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303007,"Nhamundá",2.5,2.4,7.8,10.8,9.5,10.5,12.7,15.8,19.1,19.9,22.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303106,"Nova Olinda do Norte",9.6,9.5,10.9,9.6,9.8,11.7,13.2,15.6,15,18.4,21.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303205,"Novo Airão",5.7,6,1.3,0,0,2.1,2.3,4.7,9.2,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303304,"Novo Aripuanã",6,7.2,9.9,10.5,12.7,13,14.7,17.9,24.1,21.9,31.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303403,"Parintins",15.1,13.7,14.3,15.3,13.7,12.4,11.3,13.3,17.9,17.4,21.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303502,"Pauini",6,4.2,5.7,5.6,8.2,7.9,0,7.5,7.8,10,12
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303536,"Presidente Figueiredo",22.5,21.4,22.4,21,25.1,24.3,23.3,27.7,28,29.9,27
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303569,"Rio Preto da Eva",6.4,6.3,6.8,6.4,7.6,7.2,8.2,20.1,22.5,24.3,38.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303601,"Santa Isabel do Rio Negro",0,4.8,4.7,2.3,4.4,5.3,6.7,6.5,7.9,15.2,17.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303700,"Santo Antônio do Içá",0,0,0,19.4,16.6,21.9,19.4,24,34,34.5,35.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303809,"São Gabriel da Cachoeira",5.4,6.3,4.7,7.7,7.7,6.1,6.2,7.6,7.5,8.6,7.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303908,"São Paulo de Olivença",0,0,5.8,2,0.5,0,4.3,4.1,4.6,6.2,4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1303957,"São Sebastião do Uatumã",0,0,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304005,"Silves",0,5.6,6.3,9.7,10.5,12,5.5,8,7.8,8.2,9.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304062,"Tabatinga",0.2,0.5,0.4,2.7,3.1,2.4,4.3,5.7,8.9,13.9,14.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304104,"Tapauá",8.4,10.1,9.7,10.6,10,10,10.5,12.1,12.5,23.2,26.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304203,"Tefé",4,4.1,9.5,5.9,8.7,17.3,11.1,12.7,19.8,22.1,26.8
